transaction_id,transaction_timestamp,transaction_hour,transaction_day_of_week,amount,transaction_type,customer_id,customer_age,account_age_days,customer_region,income_level,transaction_velocity_1h,transaction_velocity_24h,avg_transaction_amount_7d,deviation_from_avg_amount,is_international,merchant_risk_score,device_type,is_new_device,previous_fraud_count,is_night_transaction,high_amount_flag,fraud,true_risk_score
TXN0000066,07/04/2024 16:42,16,Sunday,74.25,POS,CUST004815,18,2869,East,medium,1,6,58.96,15.29,0,0.338,mobile,1,0,0,0,0,0.1765
TXN0000067,29/03/2024 0:22,0,Friday,96.87,online,CUST000343,30,1131,South,high,2,8,100.06,-3.19,0,0.264,mobile,0,0,1,0,0,0.1775
TXN0000068,26/05/2024 6:37,6,Sunday,15.44,online,CUST004509,43,1917,North,medium,1,7,85.53,-70.09,0,0.107,desktop,0,0,0,0,0,0
TXN0000069,28/06/2024 7:14,7,Friday,40.58,transfer,CUST001022,26,1127,West,low,2,9,19.87,20.71,0,0.392,mobile,0,0,0,0,0,0
TXN0000070,16/01/2024 23:32,23,Tuesday,231.9,POS,CUST000750,34,3668,East,high,2,8,91.6,140.3,0,0.068,desktop,0,0,1,0,0,0.1744
TXN0000071,11/04/2024 21:03,21,Thursday,219.3,POS,CUST001711,30,2139,West,low,1,11,,62.46,0,0.058,desktop,0,0,0,0,0,0.0153
TXN0000072,02/03/2024 20:27,20,Saturday,161.63,transfer,CUST004283,59,4549,Central,low,0,4,137.58,24.05,1,0.404,mobile,0,0,0,0,0,0.2054
TXN0000073,07/02/2024 6:19,6,Wednesday,95.23,online,CUST005999,39,2093,North,medium,1,8,43.38,51.85,1,0.287,mobile,0,0,0,0,0,0.1917
TXN0000074,22/02/2024 10:37,10,Thursday,10.68,transfer,CUST001559,40,1699,East,medium,3,4,290.65,-279.97,0,0.17,mobile,1,0,0,0,0,0.1361
TXN0000075,10/05/2024 19:56,19,Friday,85.06,online,CUST004681,27,984,East,high,3,2,336.42,-251.36,0,0.464,desktop,1,0,0,0,0,0.1835
TXN0000076,22/01/2024 10:38,10,Monday,36.55,POS,CUST001968,18,2089,South,medium,1,12,129.11,-92.56,0,0.409,mobile,0,0,0,0,0,0.0041
TXN0000077,13/05/2024 2:28,2,Monday,257.29,online,CUST004818,27,2072,West,medium,2,4,151.91,105.38,0,0.055,desktop,0,0,1,0,0,0.2113
TXN0000078,17/01/2024 18:14,18,Wednesday,72.15,online,CUST002452,50,4212,Central,medium,3,3,,52.05,0,0.091,mobile,0,0,0,0,0,0.0146
TXN0000079,13/04/2024 8:45,8,Saturday,16.39,online,CUST004942,27,4460,East,medium,5,2,57,-40.61,0,0.477,mobile,0,0,0,0,0,0.1882
TXN0000080,02/06/2024 20:35,20,Sunday,62.67,POS,CUST005301,36,4896,East,medium,2,5,59.34,3.33,0,0.08,mobile,0,0,0,0,0,0
TXN0000081,31/01/2024 16:26,16,Wednesday,102.8,transfer,CUST004436,35,4216,South,medium,3,7,20.61,82.19,0,0.119,mobile,0,0,0,0,0,0.0174
TXN0000082,23/02/2024 2:56,2,Friday,46.49,POS,CUST003125,44,1832,East,medium,1,7,77.04,-30.55,0,0.347,mobile,0,0,1,0,0,0.1416
TXN0000083,25/06/2024 15:02,15,Tuesday,98.78,POS,CUST000720,18,1079,West,high,1,3,100.5,-1.72,0,0.266,mobile,0,0,0,0,0,0.0262
TXN0000084,14/03/2024 18:54,18,Thursday,67.15,transfer,CUST005739,50,1672,East,low,2,4,138.94,-71.79,0,0.286,mobile,1,0,0,0,0,0.1478
TXN0000085,14/06/2024 3:43,3,Friday,165.96,transfer,CUST000940,45,1879,West,medium,0,7,54.24,111.72,0,0.288,mobile,1,0,1,0,0,0.3517
TXN0000086,03/04/2024 7:48,7,Wednesday,117.39,online,CUST001011,,3640,West,medium,3,4,70.35,47.04,0,0.108,desktop,1,0,0,0,0,0.1405
TXN0000087,15/04/2024 11:51,11,Monday,31.68,online,CUST005071,29,4188,South,medium,1,1,105.16,-73.48,0,0.242,mobile,0,0,0,0,0,0.0116
TXN0000088,20/04/2024 21:31,21,Saturday,56.01,online,CUST001532,48,721,East,medium,0,11,21.76,34.25,0,0.134,mobile,0,0,0,0,0,0.0214
TXN0000089,04/02/2024 19:02,19,Sunday,157.93,online,CUST005401,46,355,East,low,3,4,202.34,-44.41,0,0.311,mobile,0,0,0,0,0,0.0108
TXN0000090,24/03/2024 20:55,20,Sunday,143.99,ATM,CUST005560,39,4975,West,medium,0,8,37.12,106.87,0,0.582,mobile,0,0,0,0,0,0.003
TXN0000091,05/05/2024 22:57,22,Sunday,204.64,POS,CUST001539,42,4305,East,high,0,5,120.36,84.28,0,0.119,mobile,0,0,0,0,0,0.0364
TXN0000092,07/01/2024 1:47,1,Sunday,117.63,POS,CUST002877,,1449,Central,low,0,5,16.19,101.44,0,0.307,mobile,0,0,1,0,0,0.1708
TXN0000093,26/01/2024 0:26,0,Friday,242.94,POS,CUST001310,26,1357,Central,high,1,7,239.96,2.98,0,0.397,mobile,1,0,1,0,0,0.2998
TXN0000094,15/03/2024 21:57,21,Friday,180,online,CUST002534,48,1500,West,high,0,3,95.47,84.53,0,0.643,mobile,0,0,0,0,0,0.0257
TXN0000095,22/05/2024 16:55,16,Wednesday,34.44,online,CUST004340,,1420,Central,low,0,11,,-17.47,0,0.385,mobile,0,0,0,0,0,0.0419
TXN0000096,14/02/2024 11:05,11,Wednesday,56.48,transfer,CUST000903,50,48,West,low,1,8,77.9,-21.42,0,0.164,desktop,0,0,0,0,0,0.0651
TXN0000097,05/04/2024 14:10,14,Friday,69.56,transfer,CUST001360,26,3857,South,low,1,3,55.75,13.81,0,0.244,mobile,1,0,0,0,0,0.124
TXN0000098,30/04/2024 20:36,20,Tuesday,24.94,online,CUST003395,35,94,West,medium,2,5,32.98,-8.04,0,0.148,mobile,0,0,0,0,0,0.0165
TXN0000099,21/02/2024 1:28,1,Wednesday,88.79,online,CUST001959,18,1756,Central,high,3,2,85.63,3.16,0,0.269,mobile,0,0,1,0,0,0.2008
TXN0000100,10/03/2024 4:33,4,Sunday,29.2,online,CUST000959,24,3625,South,high,2,3,115.5,-86.3,0,0.073,desktop,0,0,1,0,0,0.1591
TXN0000101,19/06/2024 11:56,11,Wednesday,195,POS,CUST004507,42,187,South,medium,3,6,21.58,173.42,0,0.364,mobile,0,0,0,0,0,0
TXN0000102,19/05/2024 17:54,17,Sunday,22.24,POS,CUST003404,31,4385,East,medium,1,6,84.85,-62.61,0,0.612,mobile,0,0,0,0,0,0
TXN0000103,27/06/2024 19:29,19,Thursday,121.48,online,CUST000362,59,4347,Central,low,1,5,122.31,-0.83,0,0.09,mobile,0,0,0,0,0,0
TXN0000104,07/04/2024 18:41,18,Sunday,35.56,online,CUST005115,47,3562,North,low,1,5,41.02,-5.46,0,0.226,desktop,0,0,0,0,0,0
TXN0000105,26/05/2024 12:35,12,Sunday,239.08,ATM,CUST005676,43,1478,East,high,1,3,123.8,115.28,0,,mobile,0,0,0,0,0,0.0182
TXN0000106,12/03/2024 18:20,18,Tuesday,33.47,online,CUST004876,33,4689,Central,low,1,4,146.51,-113.04,0,0.267,mobile,0,0,0,0,0,0.0239
TXN0000107,23/01/2024 15:49,15,Tuesday,35.61,transfer,CUST002179,43,3160,Central,medium,0,5,42.7,-7.09,0,0.39,desktop,0,0,0,0,0,0.0284
TXN0000108,02/06/2024 9:45,9,Sunday,69.49,online,CUST001585,42,2837,West,medium,1,8,37.31,32.18,0,0.146,unknown,0,0,0,0,0,0.0257
TXN0000109,06/06/2024 8:48,8,Thursday,81.47,transfer,CUST004342,38,587,Central,medium,2,7,139.18,-57.71,0,0.588,mobile,0,1,0,0,0,0.1495
TXN0000110,10/05/2024 4:08,4,Friday,483.99,transfer,CUST003826,19,4357,South,medium,1,6,30.14,453.85,0,0.389,desktop,0,0,1,0,0,0.3812
TXN0000111,19/04/2024 11:39,11,Friday,537.98,online,CUST003058,41,2866,North,medium,0,7,165.87,372.11,0,0.154,mobile,0,0,0,1,0,0.2094
TXN0000112,30/03/2024 13:05,13,Saturday,102.3,transfer,CUST005921,,3091,North,medium,0,5,75.64,26.66,0,0.287,mobile,0,0,0,0,0,0
TXN0000113,06/01/2024 22:14,22,Saturday,36.28,online,CUST001985,28,1486,South,low,1,5,86.71,-50.43,0,0.184,desktop,0,0,0,0,0,0
TXN0000114,19/03/2024 13:55,13,Tuesday,126.7,POS,CUST004475,29,2191,East,medium,0,3,119.46,7.24,0,0.102,desktop,0,0,0,0,0,0.0188
TXN0000115,15/05/2024 20:51,20,Wednesday,23.41,online,CUST000537,26,3235,Central,low,2,4,71.74,-48.33,0,0.051,desktop,0,0,0,0,0,0.0324
TXN0000116,29/03/2024 6:35,6,Friday,17,transfer,CUST004157,37,299,North,high,2,1,140.74,-123.74,0,0.394,mobile,0,0,0,0,0,0.0392
TXN0000117,07/05/2024 0:53,0,Tuesday,120.12,transfer,CUST002807,25,722,South,medium,3,7,59.86,60.26,0,0.039,mobile,0,0,1,0,0,0.1982
TXN0000118,18/05/2024 6:49,6,Saturday,184.78,transfer,CUST005900,50,1934,Central,low,1,7,107.79,76.99,0,0.118,mobile,0,0,0,0,0,0.0487
TXN0000119,06/03/2024 3:19,3,Wednesday,22.17,POS,CUST005630,45,4078,South,high,2,3,127.16,-104.99,0,0.021,mobile,0,0,1,0,0,0.1286
TXN0000120,07/01/2024 17:45,17,Sunday,219.92,online,CUST003283,24,2887,North,low,4,3,188.82,31.1,0,0.189,mobile,1,0,0,0,0,0.3441
TXN0000121,04/04/2024 19:46,19,Thursday,71.98,POS,CUST003355,27,2161,East,low,1,5,121.8,-49.82,0,0.704,mobile,0,0,0,0,0,0.2311
TXN0000122,28/06/2024 4:51,4,Friday,102.64,online,CUST004311,39,2692,South,low,2,2,7.55,95.09,0,0.122,mobile,0,0,1,0,0,0.2189
TXN0000123,19/02/2024 16:43,16,Monday,42.66,online,CUST002404,53,1000,Central,medium,0,8,,-18.2,0,0.191,mobile,0,0,0,0,0,0.0176
TXN0000124,17/03/2024 6:27,6,Sunday,492.89,online,CUST001553,51,1002,East,medium,3,7,59.21,433.68,0,,mobile,0,0,0,0,0,0.1897
TXN0000125,21/01/2024 10:27,10,Sunday,179.66,online,CUST002139,47,4305,East,medium,2,4,99.85,79.81,1,0.317,mobile,0,1,0,0,0,0.3424
TXN0000126,20/01/2024 4:40,4,Saturday,17.35,online,CUST001822,40,2717,East,low,2,6,,-30.07,1,0.461,mobile,1,0,1,0,0,0.5632
TXN0000127,07/04/2024 13:50,13,Sunday,52.2,POS,CUST001878,63,1458,West,medium,1,6,15.31,36.89,0,0.246,mobile,0,0,0,0,0,0.0243
TXN0000128,19/06/2024 20:22,20,Wednesday,1112.75,online,CUST003461,44,3920,West,low,0,8,46.78,1065.97,0,0.559,mobile,0,0,0,1,0,0.4428
TXN0000129,25/02/2024 15:37,15,Sunday,23.51,ATM,CUST005565,27,4245,North,low,0,5,59.21,-35.7,0,0.269,unknown,1,0,0,0,0,0.147
TXN0000130,13/01/2024 3:35,3,Saturday,33.82,transfer,CUST005089,25,1123,North,medium,0,7,30.88,2.94,0,0.034,mobile,0,0,1,0,0,0.2019
TXN0000131,15/03/2024 16:14,16,Friday,45.14,POS,CUST002152,27,4185,West,medium,2,5,101.62,-56.48,0,,mobile,0,0,0,0,0,0.0502
TXN0000132,02/02/2024 16:38,16,Friday,229.37,online,CUST004998,37,4940,East,low,3,5,187.99,41.38,0,0.194,desktop,1,0,0,0,0,0.1775
TXN0000133,18/06/2024 13:39,13,Tuesday,23.55,online,CUST005222,33,1274,Central,low,1,10,50.35,-26.8,0,0.07,unknown,0,1,0,0,0,0.1091
TXN0000134,11/02/2024 20:41,20,Sunday,28.7,transfer,CUST000690,21,4888,South,low,2,4,71.04,-42.34,1,0.287,mobile,0,0,0,0,0,0.2461
TXN0000135,24/04/2024 15:02,15,Wednesday,118.65,POS,CUST003192,50,906,West,medium,0,3,30.77,87.88,0,0.218,mobile,0,0,0,0,0,0.0479
TXN0000136,28/01/2024 2:52,2,Sunday,64.93,POS,CUST001084,42,544,South,high,2,3,56.96,7.97,0,0.219,desktop,0,0,1,0,0,0.1657
TXN0000137,08/06/2024 14:14,14,Saturday,407.69,online,CUST005318,,199,North,medium,5,9,65.64,342.05,0,0.055,desktop,0,0,0,0,0,0.1803
TXN0000138,25/01/2024 13:15,13,Thursday,75.16,online,CUST005593,29,392,Central,medium,0,5,59.4,15.76,0,0.012,mobile,0,0,0,0,0,0
TXN0000139,23/02/2024 4:22,4,Friday,44.38,online,CUST000796,64,165,South,low,3,6,52.93,-8.55,0,0.126,mobile,0,0,1,0,0,0.2347
TXN0000140,29/01/2024 0:17,0,Monday,81.39,POS,CUST000744,24,3665,South,high,0,5,52.92,28.47,0,0.344,unknown,1,0,1,0,0,0.3322
TXN0000141,09/01/2024 11:41,11,Tuesday,43.37,POS,CUST005410,18,1941,Central,medium,1,2,170.59,-127.22,0,0.14,desktop,0,1,0,0,0,0.1658
TXN0000142,05/02/2024 10:54,10,Monday,94.86,POS,CUST003736,51,4321,North,medium,2,4,107.04,-12.18,0,0.251,desktop,0,0,0,0,0,0.0384
TXN0000143,15/01/2024 2:18,2,Monday,291.57,online,CUST005426,33,4156,South,medium,1,5,64.49,227.08,0,0.262,mobile,0,0,1,0,0,0.1896
TXN0000144,03/06/2024 4:51,4,Monday,88.48,online,CUST005115,38,2009,South,low,2,3,82.3,6.18,0,0.264,mobile,0,0,1,0,0,0.1645
TXN0000145,30/05/2024 11:32,11,Thursday,37.12,POS,CUST002038,35,2813,North,low,2,5,58.32,-21.2,0,0.153,mobile,0,0,0,0,0,0.0247
TXN0000146,23/03/2024 13:23,13,Saturday,60.77,online,CUST002510,43,3669,Central,low,1,4,15.83,44.94,0,0.199,desktop,0,0,0,0,0,0.0067
TXN0000147,22/03/2024 4:49,4,Friday,32.9,online,CUST001458,39,2401,North,high,0,8,19.36,13.54,0,0.108,unknown,0,1,1,0,0,0.2811
TXN0000148,17/02/2024 11:59,11,Saturday,170.66,online,CUST002836,39,2788,South,high,3,6,113.59,57.07,0,,mobile,0,0,0,0,0,0.0714
TXN0000149,21/06/2024 10:21,10,Friday,144.95,POS,CUST004765,42,4678,West,medium,2,0,183.5,-38.55,0,0.205,mobile,1,0,0,0,0,0.162
TXN0000150,01/02/2024 7:12,7,Thursday,79.35,transfer,CUST004601,58,4972,Central,high,1,3,40.73,38.62,0,0.316,mobile,0,0,0,0,0,0.0477
TXN0000151,24/01/2024 21:57,21,Wednesday,47.43,online,CUST003605,41,195,South,medium,1,4,136.52,-89.09,0,0.143,mobile,0,0,0,0,0,0
TXN0000152,08/03/2024 2:16,2,Friday,89.51,transfer,CUST000054,28,556,North,medium,2,5,71.12,18.39,0,0.31,mobile,0,0,1,0,0,0.1859
TXN0000153,07/01/2024 11:25,11,Sunday,35.76,online,CUST005451,46,3777,North,medium,0,3,112.79,-77.03,0,0.173,desktop,0,0,0,0,0,0.0116
TXN0000154,12/03/2024 21:10,21,Tuesday,293.76,online,CUST003301,42,2305,East,high,0,5,75.23,218.53,1,0.143,desktop,0,0,0,0,0,0.2602
TXN0000155,03/04/2024 21:34,21,Wednesday,378.76,POS,CUST002826,33,1299,Central,low,3,2,43.3,335.46,0,0.274,desktop,0,0,0,0,0,0
TXN0000156,14/06/2024 3:59,3,Friday,182.89,online,CUST000149,29,1741,North,medium,0,2,,157.09,0,0.14,mobile,0,0,1,0,0,0.1732
TXN0000157,07/05/2024 12:11,12,Tuesday,40.21,online,CUST000163,34,651,East,low,1,6,129.59,-89.38,0,0.366,mobile,0,0,0,0,0,0.0115
TXN0000158,11/04/2024 4:24,4,Thursday,27.82,online,CUST005252,64,3053,South,high,2,9,32.76,-4.94,0,0.21,mobile,0,0,1,0,0,0.1739
TXN0000159,05/03/2024 23:53,23,Tuesday,130.09,POS,CUST002284,35,1625,North,high,2,11,47.76,82.33,0,0.446,unknown,0,0,1,0,0,0.1493
TXN0000160,01/05/2024 19:25,19,Wednesday,25.02,online,CUST000945,60,3832,Central,medium,3,4,106.24,-81.22,0,0.245,mobile,0,0,0,0,0,0
TXN0000161,22/06/2024 2:25,2,Saturday,575.42,ATM,CUST003020,47,2151,North,low,1,5,32.46,542.96,0,0.553,desktop,0,0,1,1,0,0.5769
